constructor_id,abbr,ergast_constructor_id,constructor_name
ALP,ALP,alpine,Alpine
AST,AST,aston_martin,Aston Martin
FER,FER,ferrari,Ferrari
HAA,HAA,haas,Haas
KCK,KCK,kick_sauber,Kick Sauber
MCL,MCL,mclaren,McLaren
MER,MER,mercedes,Mercedes
RED,RED,red_bull,Red Bull
VRB,VRB,rb,RB
WIL,WIL,williams,Williams
