season,round,id,abbr,type,totalPoints,nnTotalPoints
2025,7,FER_LEC,LEC,driver,24,24
2025,7,HAA_BEA,BEA,driver,4,4
2025,7,HAA_OCO,OCO,driver,-18,2
2025,7,KCK_BOR,BOR,driver,-2,2
2025,7,KCK_HUL,HUL,driver,9,9
2025,7,MCL_NOR,NOR,driver,31,31
2025,7,MCL_PIA,PIA,driver,31,33
2025,7,MER_ANT,ANT,driver,-19,1
2025,7,MER_RUS,RUS,driver,15,19
2025,7,RED_LAW,LAW,driver,-25,0
2025,7,RED_TSU,TSU,driver,9,14
2025,7,RED_VER,VER,driver,57,57
2025,7,VRB_HAD,HAD,driver,6,6
2025,7,VRB_LAW,LAW,driver,3,3
2025,7,VRB_TSU,TSU,driver,-25,0
2025,7,WIL_ALB,ALB,driver,18,18
2025,7,WIL_SAI,SAI,driver,12,14
2025,8,ALP_COL,COL,driver,5,5
2025,8,ALP_DOO,DOO,driver,-25,0
2025,8,ALP_GAS,GAS,driver,-20,0
2025,8,AST_ALO,ALO,driver,-16,4
2025,8,AST_STR,STR,driver,5,5
2025,8,FER_HAM,HAM,driver,19,19
2025,8,FER_LEC,LEC,driver,37,37
2025,8,HAA_BEA,BEA,driver,8,8
2025,8,HAA_OCO,OCO,driver,10,10
2025,8,KCK_BOR,BOR,driver,3,3
2025,8,KCK_HUL,HUL,driver,-2,1
2025,8,MCL_NOR,NOR,driver,45,45
2025,8,MCL_PIA,PIA,driver,23,23
2025,8,MER_ANT,ANT,driver,-2,1
2025,8,MER_RUS,RUS,driver,3,3
2025,8,RED_LAW,LAW,driver,-25,0
2025,8,RED_TSU,TSU,driver,-5,0
2025,8,RED_VER,VER,driver,18,18
2025,8,VRB_HAD,HAD,driver,12,13
2025,8,VRB_LAW,LAW,driver,7,7
2025,8,VRB_TSU,TSU,driver,-25,0
2025,8,WIL_ALB,ALB,driver,4,4
2025,8,WIL_SAI,SAI,driver,2,2
2025,9,ALP_COL,COL,driver,6,6
2025,9,ALP_DOO,DOO,driver,-25,0
2025,9,ALP_GAS,GAS,driver,10,10
2025,9,AST_ALO,ALO,driver,14,14
2025,9,AST_STR,STR,driver,-20,0
2025,9,FER_HAM,HAM,driver,14,15
2025,9,FER_LEC,LEC,driver,27,27
2025,9,HAA_BEA,BEA,driver,0,3
2025,9,HAA_OCO,OCO,driver,3,3
2025,9,KCK_BOR,BOR,driver,4,4
2025,9,KCK_HUL,HUL,driver,32,32
2025,9,MCL_NOR,NOR,driver,28,28
2025,9,MCL_PIA,PIA,driver,45,45
2025,9,MER_ANT,ANT,driver,-12,8
2025,9,MER_RUS,RUS,driver,21,21
2025,9,RED_LAW,LAW,driver,-25,0
2025,9,RED_TSU,TSU,driver,11,11
2025,9,RED_VER,VER,driver,17,24
2025,9,VRB_HAD,HAD,driver,16,16
2025,9,VRB_LAW,LAW,driver,9,9
2025,9,VRB_TSU,TSU,driver,-25,0
2025,9,WIL_ALB,ALB,driver,-18,2
2025,9,WIL_SAI,SAI,driver,7,7
2025,10,ALP_COL,COL,driver,2,5
2025,10,ALP_DOO,DOO,driver,-25,0
2025,10,ALP_GAS,GAS,driver,6,6
2025,10,AST_ALO,ALO,driver,22,23
2025,10,AST_STR,STR,driver,2,2
2025,10,FER_HAM,HAM,driver,15,16
2025,10,FER_LEC,LEC,driver,17,17
2025,10,HAA_BEA,BEA,driver,7,7
2025,10,HAA_OCO,OCO,driver,10,10
2025,10,KCK_BOR,BOR,driver,5,5
2025,10,KCK_HUL,HUL,driver,15,15
2025,10,MCL_NOR,NOR,driver,-2,9
2025,10,MCL_PIA,PIA,driver,22,23
2025,10,MER_ANT,ANT,driver,35,35
2025,10,MER_RUS,RUS,driver,47,47
2025,10,RED_LAW,LAW,driver,-25,0
2025,10,RED_TSU,TSU,driver,12,12
2025,10,RED_VER,VER,driver,29,29
2025,10,VRB_HAD,HAD,driver,1,5
2025,10,VRB_LAW,LAW,driver,-20,0
2025,10,VRB_TSU,TSU,driver,-25,0
2025,10,WIL_ALB,ALB,driver,-16,4
2025,10,WIL_SAI,SAI,driver,13,13
2025,11,ALP_COL,COL,driver,5,6
2025,11,ALP_DOO,DOO,driver,-25,0
2025,11,ALP_GAS,GAS,driver,2,5
2025,11,AST_ALO,ALO,driver,12,12
2025,11,AST_STR,STR,driver,9,9
2025,11,FER_HAM,HAM,driver,22,22
2025,11,FER_LEC,LEC,driver,25,26
