season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2025,1,ALP_DOO,DOO,7.2,-0.6,21,0
2025,1,ALP_GAS,GAS,11.8,-0.6,17,1
2025,1,AST_ALO,ALO,8.8,-0.6,47,1
2025,1,AST_STR,STR,8.1,0.6,7,0
2025,1,FER_HAM,HAM,24.2,-0.3,17,12
2025,1,FER_LEC,LEC,25.9,-0.3,21,17
2025,1,HAA_BEA,BEA,6.7,-0.6,46,0
2025,1,HAA_OCO,OCO,7.3,0.2,29,0
2025,1,KCK_BOR,BOR,6,-0.6,22,0
2025,1,KCK_HUL,HUL,6.4,0.6,35,0
2025,1,MCL_NOR,NOR,29,0.3,22,19
2025,1,MCL_PIA,PIA,23,-0.3,26,20
2025,1,MER_ANT,ANT,18.4,0.6,11,2
2025,1,MER_RUS,RUS,21,0.1,8,3
2025,1,RED_LAW,LAW,18,-0.6,7,1
2025,1,RED_VER,VER,28.4,0.1,16,14
2025,1,VRB_HAD,HAD,6.2,-0.6,40,0
2025,1,VRB_TSU,TSU,9.6,-0.6,31,1
2025,1,WIL_ALB,ALB,12,0.6,15,0
2025,1,WIL_SAI,SAI,13.1,-0.6,62,9
2025,2,ALP_DOO,DOO,6.6,-0.6,18,0
2025,2,ALP_GAS,GAS,11.2,-0.6,16,0
2025,2,AST_ALO,ALO,8.2,-0.6,43,1
2025,2,AST_STR,STR,8.7,0.6,10,0
2025,2,FER_HAM,HAM,23.9,-0.3,15,11
2025,2,FER_LEC,LEC,25.6,-0.3,17,13
2025,2,HAA_BEA,BEA,6.1,0.6,42,0
2025,2,HAA_OCO,OCO,7.5,0.6,25,0
2025,2,KCK_BOR,BOR,5.4,-0.6,24,0
2025,2,KCK_HUL,HUL,7,0.6,37,0
2025,2,MCL_NOR,NOR,29.3,0.3,26,22
2025,2,MCL_PIA,PIA,22.7,0.3,26,20
2025,2,MER_ANT,ANT,19,0.3,15,3
2025,2,MER_RUS,RUS,21.1,0.3,9,3
2025,2,RED_LAW,LAW,17.4,-0.6,5,1
2025,2,RED_VER,VER,28.5,0.1,18,14
2025,2,VRB_HAD,HAD,5.6,-0.6,41,0
2025,2,VRB_TSU,TSU,9,-0.6,37,1
2025,2,WIL_ALB,ALB,12.6,0.2,24,2
2025,2,WIL_SAI,SAI,12.5,-0.6,53,7
2025,3,ALP_DOO,DOO,6,-0.6,16,0
2025,3,ALP_GAS,GAS,10.6,-0.6,15,0
2025,3,AST_ALO,ALO,7.6,-0.6,36,1
2025,3,AST_STR,STR,9.3,0.6,14,0
2025,3,FER_HAM,HAM,23.6,-0.3,14,10
2025,3,FER_LEC,LEC,25.3,-0.3,14,11
2025,3,HAA_BEA,BEA,6.7,0.6,47,1
2025,3,HAA_OCO,OCO,8.1,0.6,30,0
2025,3,KCK_BOR,BOR,4.8,-0.3,24,0
2025,3,KCK_HUL,HUL,7.6,0.2,35,0
2025,3,MCL_NOR,NOR,29.6,0.3,27,23
2025,3,MCL_PIA,PIA,23,0.1,29,23
2025,3,MER_ANT,ANT,19.3,0.3,17,4
2025,3,MER_RUS,RUS,21.4,0.3,11,4
2025,3,RED_LAW,LAW,16.8,0,3,0
2025,3,RED_TSU,TSU,16.8,-0.2,4,1
2025,3,RED_VER,VER,28.6,0.1,17,13
2025,3,VRB_HAD,HAD,5,-0.5,46,0
2025,3,VRB_LAW,LAW,8.4,-0.6,6,0
2025,3,VRB_TSU,TSU,8.4,0,24,1
2025,3,WIL_ALB,ALB,12.8,0.2,29,2
2025,3,WIL_SAI,SAI,11.9,-0.6,43,5
2025,4,ALP_DOO,DOO,5.4,0.2,18,0
2025,4,ALP_GAS,GAS,10,-0.6,15,0
2025,4,AST_ALO,ALO,7,-0.6,33,1
2025,4,AST_STR,STR,9.9,-0.2,13,0
2025,4,FER_HAM,HAM,23.3,-0.1,13,9
2025,4,FER_LEC,LEC,25,-0.3,14,10
2025,4,HAA_BEA,BEA,7.3,0.6,52,1
2025,4,HAA_OCO,OCO,8.7,0.6,30,0
2025,4,KCK_BOR,BOR,4.5,0,24,0
2025,4,KCK_HUL,HUL,7.8,-0.6,32,0
2025,4,MCL_NOR,NOR,29.9,0.1,26,22
2025,4,MCL_PIA,PIA,23.1,0.3,31,24
2025,4,MER_ANT,ANT,19.6,0.1,19,5
2025,4,MER_RUS,RUS,21.7,0.3,11,4
2025,4,RED_LAW,LAW,16.8,0,3,0
2025,4,RED_TSU,TSU,16.6,-0.2,4,1
2025,4,RED_VER,VER,28.7,0.1,17,14
2025,4,VRB_HAD,HAD,4.5,0.6,53,1
2025,4,VRB_LAW,LAW,7.8,-0.6,5,0
2025,4,VRB_TSU,TSU,8.4,0,19,1
2025,4,WIL_ALB,ALB,13,-0.2,30,2
2025,4,WIL_SAI,SAI,11.3,-0.6,40,5
2025,5,ALP_DOO,DOO,5.6,-0.6,19,0
2025,5,ALP_GAS,GAS,9.4,-0.6,18,1
2025,5,AST_ALO,ALO,6.4,-0.2,32,1
2025,5,AST_STR,STR,9.7,-0.6,11,0
2025,5,FER_HAM,HAM,23.2,0.1,12,8
2025,5,FER_LEC,LEC,24.7,-0.1,13,10
2025,5,HAA_BEA,BEA,7.9,0.6,53,1
2025,5,HAA_OCO,OCO,9.3,-0.2,29,0
2025,5,KCK_BOR,BOR,4.5,0,24,0
2025,5,KCK_HUL,HUL,7.2,-0.6,29,0
2025,5,MCL_NOR,NOR,30,0.1,25,21
2025,5,MCL_PIA,PIA,23.4,0.3,34,27
2025,5,MER_ANT,ANT,19.7,-0.1,19,5
2025,5,MER_RUS,RUS,22,0.1,12,5
2025,5,RED_LAW,LAW,16.8,0,2,0
2025,5,RED_TSU,TSU,16.4,-0.6,5,1
2025,5,RED_VER,VER,28.8,0.1,17,13
2025,5,VRB_HAD,HAD,5.1,0.6,55,1
2025,5,VRB_LAW,LAW,7.2,-0.6,6,0
2025,5,VRB_TSU,TSU,8.4,0,17,1
2025,5,WIL_ALB,ALB,12.8,-0.2,30,2
2025,5,WIL_SAI,SAI,10.7,-0.6,38,4
2025,6,ALP_DOO,DOO,5,-0.5,19,0
2025,6,ALP_GAS,GAS,8.8,-0.6,18,1
2025,6,AST_ALO,ALO,6.2,-0.6,32,1
2025,6,AST_STR,STR,9.1,0.6,10,0
2025,6,FER_HAM,HAM,23.3,0.3,12,8
2025,6,FER_LEC,LEC,24.6,-0.3,13,9
2025,6,HAA_BEA,BEA,8.5,0.2,53,1
2025,6,HAA_OCO,OCO,9.1,0.2,28,0
2025,6,KCK_BOR,BOR,4.5,0,24,0
2025,6,KCK_HUL,HUL,6.6,-0.6,27,0
2025,6,MCL_NOR,NOR,30.1,0.3,24,20
2025,6,MCL_PIA,PIA,23.7,0.3,36,29
2025,6,MER_ANT,ANT,19.6,-0.1,20,5
2025,6,MER_RUS,RUS,22.1,0.1,12,5
2025,6,RED_LAW,LAW,16.8,0,2,0
2025,6,RED_TSU,TSU,15.8,-0.6,5,1
2025,6,RED_VER,VER,28.9,-0.1,17,13
2025,6,VRB_HAD,HAD,5.7,-0.2,57,1
2025,6,VRB_LAW,LAW,6.6,-0.6,7,0
2025,6,VRB_TSU,TSU,8.4,0,15,1
2025,6,WIL_ALB,ALB,12.6,0.2,30,2
2025,6,WIL_SAI,SAI,10.1,-0.6,39,4
2025,7,ALP_COL,COL,4.5,0,9,0
2025,7,ALP_DOO,DOO,4.5,0,15,0
2025,7,ALP_GAS,GAS,8.2,-0.6,19,0
2025,7,AST_ALO,ALO,5.6,-0.6,31,1
2025,7,AST_STR,STR,9.7,-0.2,11,0
2025,7,FER_HAM,HAM,23.6,0.1,11,7
